task,latitude,longitude
1,35.9861,74.707
2,30.8446,91.517
3,25.9835,78.0125
4,10.0641,82.3246
5,9.8942,77.1604
6,27.3447,78.5741
7,26.7947,95.0707
8,33.5646,74.2805
9,11.475,82.5674
10,23.9469,73.6325
11,8.4654,79.258
12,34.5191,76.0547
13,34.6279,73.434
14,34.276,78.3005
15,9.8083,86.0481
16,18.2668,74.5003
17,14.1693,88.1817
18,28.2173,74.4885
19,17.3073,84.1697
20,27.1073,97.1149
21,23.7764,97.3248
22,31.5974,73.2744
23,26.4994,75.8719
24,29.4388,68.8439
25,9.9463,85.0519
26,14.4957,80.34
27,27.7256,97.1743
28,22.4366,75.8081
29,24.1358,74.6384
30,34.5055,69.9596
31,22.5784,96.5507
32,29.1115,77.3454
33,21.5811,72.6758
34,25.914,86.9713
35,20.2823,76.4716
36,21.7265,82.5716
37,27.3841,74.2277
38,37.0711,79.8542
39,36.2818,77.9436
40,10.5663,95.6981
41,12.9856,72.0943
42,28.3578,85.6755
43,37.3553,88.8824
44,23.6273,88.0356
45,20.7338,96.8051
46,11.7722,73.834
47,26.2993,89.2495
48,27.9907,74.8583
49,23.2485,76.1888
50,28.7488,84.7928
51,16.3257,80.3224
52,33.2185,94.1541
53,9.7843,76.3935
54,36.4062,95.2257
55,16.8303,90.4739
56,35.8059,72.7088
57,31.8197,92.6589
58,31.3793,85.0104
59,23.9011,81.291
60,12.9269,75.1054
61,15.4986,84.7197
62,32.0325,87.3686
63,21.2109,84.8062
64,19.2385,78.7603
65,10.0453,82.2635
66,28.5715,77.4255
67,16.4495,80.6963
68,28.4359,77.0762
69,34.3582,85.8989
70,17.0712,96.9372
71,10.3647,73.9315
72,24.8426,69.3753
73,28.3977,96.2451
74,10.5372,77.0914
75,28.6912,77.0206
76,18.0895,84.483
77,23.3381,95.0618
78,33.4481,96.1086
79,32.0639,93.167
80,10.9845,85.8621
81,25.1542,88.31
82,36.1916,93.6421
83,21.0635,89.1834
84,10.9514,82.831
85,37.2682,89.2074
86,25.9149,83.4514
87,26.5141,85.7001
88,10.5681,89.9397
89,25.3757,85.2173
90,8.5006,91.5144
91,27.5972,84.7384
92,22.5442,77.0388
93,32.7061,79.2435
94,16.0808,80.1647
95,22.5866,72.912
96,16.0697,91.3013
97,25.4156,96.4014
98,29.9637,84.2706
99,25.6401,85.1569
100,26.4505,75.7511
101,24.8794,77.9835
102,32.1737,83.244
103,33.6353,94.5451
104,30.774,95.4288
105,15.5202,76.5306
106,26.1118,88.1366
107,16.0288,75.7153
108,15.3153,73.9829
109,31.9345,87.6406
110,34.2903,72.4332
111,9.1123,95.9703
112,36.0625,78.5441
113,13.1647,75.0239
114,33.5641,70.7455
115,32.0995,86.4745
116,8.4374,77.1859
117,37.1085,95.9513
118,20.2175,79.8415
119,8.5325,92.6748
120,18.3763,78.0557
121,25.4074,73.1256
122,16.2137,69.8393
123,16.7186,75.6028
124,13.463,95.6813
125,12.3674,90.6357
126,33.8444,87.8258
127,8.4948,82.2513
128,35.3266,80.6789
129,9.8926,73.5236
130,25.9154,87.3422
131,33.8275,79.2069
132,11.7185,88.3242
133,32.9304,88.4204
134,14.2859,88.9143
135,10.3161,75.9606
136,14.0196,91.4257
137,19.4036,78.8784
138,32.0343,86.6433
139,24.6719,94.2511
140,32.8334,70.6215
141,22.3536,79.1654
142,24.6462,74.5184
143,36.5888,70.3468
144,29.1701,87.4654
145,16.9662,77.2308
146,18.5003,94.3863
147,27.7049,88.2919
148,11.8356,84.178
149,13.8157,75.2415
150,31.9976,86.8148